e_rnd,avg_e_rnd,m_rnd,avg_m_rnd,e_low,avg_e_low,m_low,avg_m_low,e_hig,avg_e_hig,m_hig,avg_m_hig
-1.9418000000000000e+00,-1.6545692307692303e+00,9.8285000000000000e-01,6.5755480769230756e-01,-1.9875499999999999e+00,-1.9968641025641023e+00,9.9688750000000004e-01,9.9921602564102563e-01,-1.7509250000000001e+00,-1.5866782051282056e+00,1.7975000000000002e-01,1.0509198717948717e-01
-1.9600000000000000e+00,-1.6622049999999995e+00,9.8846250000000002e-01,6.6582749999999991e-01,-2.0000000000000000e+00,-1.9969424999999998e+00,1.0000000000000000e+00,9.9923562500000007e-01,-1.7571500000000000e+00,-1.5909400000000005e+00,1.7546249999999999e-01,1.0685124999999999e-01
-1.9723500000000000e+00,-1.6697695121951215e+00,9.9308750000000001e-01,6.7380945121951208e-01,-2.0000000000000000e+00,-1.9970170731707315e+00,1.0000000000000000e+00,9.9925426829268293e-01,-1.7582499999999999e+00,-1.5950207317073177e+00,1.8558749999999999e-01,1.0877164634146340e-01
-1.9851500000000000e+00,-1.6772785714285712e+00,9.9628749999999999e-01,6.8148749999999991e-01,-2.0000000000000000e+00,-1.9970880952380949e+00,1.0000000000000000e+00,9.9927202380952385e-01,-1.7547249999999999e+00,-1.5988232142857146e+00,1.9227500000000000e-01,1.1075982142857142e-01
-2.0000000000000000e+00,-1.6847837209302323e+00,1.0000000000000000e+00,6.8889476744186040e-01,-2.0000000000000000e+00,-1.9971558139534882e+00,1.0000000000000000e+00,9.9928895348837210e-01,-1.7600000000000000e+00,-1.6025715116279076e+00,1.9969999999999999e-01,1.1282819767441860e-01
-2.0000000000000000e+00,-1.6919477272727270e+00,1.0000000000000000e+00,6.9596534090909090e-01,-2.0000000000000000e+00,-1.9972204545454544e+00,1.0000000000000000e+00,9.9930511363636365e-01,-1.7575749999999999e+00,-1.6060943181818188e+00,2.0725000000000002e-01,1.1497414772727273e-01
-2.0000000000000000e+00,-1.6987933333333332e+00,1.0000000000000000e+00,7.0272166666666669e-01,-2.0000000000000000e+00,-1.9972822222222220e+00,1.0000000000000000e+00,9.9932055555555555e-01,-1.7440750000000000e+00,-1.6091605555555559e+00,1.9542500000000002e-01,1.1676194444444445e-01
-2.0000000000000000e+00,-1.7053413043478258e+00,1.0000000000000000e+00,7.0918423913043482e-01,-2.0000000000000000e+00,-1.9973413043478259e+00,1.0000000000000000e+00,9.9933532608695652e-01,-1.7497499999999999e+00,-1.6122168478260874e+00,2.0208749999999998e-01,1.1861684782608696e-01
-2.0000000000000000e+00,-1.7116106382978722e+00,1.0000000000000000e+00,7.1537180851063831e-01,-2.0000000000000000e+00,-1.9973978723404253e+00,1.0000000000000000e+00,9.9934946808510638e-01,-1.7309500000000000e+00,-1.6147430851063833e+00,2.0147500000000002e-01,1.2037978723404257e-01
-1.9937000000000000e+00,-1.7174874999999998e+00,9.9842500000000001e-01,7.2126875000000001e-01,-1.9937000000000000e+00,-1.9973208333333332e+00,9.9842500000000001e-01,9.9933020833333330e-01,-1.7178249999999999e+00,-1.6168906250000006e+00,1.7131250000000001e-01,1.2144088541666669e-01
-2.0000000000000000e+00,-1.7232530612244896e+00,1.0000000000000000e+00,7.2695714285714286e-01,-2.0000000000000000e+00,-1.9973755102040816e+00,1.0000000000000000e+00,9.9934387755102039e-01,-1.7297000000000000e+00,-1.6191928571428575e+00,1.4318750000000000e-01,1.2188469387755103e-01
-2.0000000000000000e+00,-1.7287879999999998e+00,1.0000000000000000e+00,7.3241800000000001e-01,-2.0000000000000000e+00,-1.9974280000000000e+00,1.0000000000000000e+00,9.9935699999999994e-01,-1.7294499999999999e+00,-1.6213980000000003e+00,1.6255000000000000e-01,1.2269800000000002e-01
-2.0000000000000000e+00,-1.7341058823529409e+00,1.0000000000000000e+00,7.3766470588235289e-01,-2.0000000000000000e+00,-1.9974784313725489e+00,1.0000000000000000e+00,9.9936960784313722e-01,-1.7409500000000000e+00,-1.6237421568627455e+00,1.4910000000000001e-01,1.2321568627450982e-01
-2.0000000000000000e+00,-1.7392192307692307e+00,1.0000000000000000e+00,7.4270961538461533e-01,-2.0000000000000000e+00,-1.9975269230769230e+00,1.0000000000000000e+00,9.9938173076923076e-01,-1.7441000000000000e+00,-1.6260567307692311e+00,1.2653750000000000e-01,1.2327956730769232e-01
-1.9931500000000000e+00,-1.7440103773584905e+00,9.9828749999999999e-01,7.4753183962264147e-01,-1.9931500000000000e+00,-1.9974443396226413e+00,9.9828749999999999e-01,9.9936108490566045e-01,-1.7433750000000001e+00,-1.6282702830188682e+00,1.1153750000000001e-01,1.2305801886792454e-01
-2.0000000000000000e+00,-1.7487509259259257e+00,1.0000000000000000e+00,7.5220717592592579e-01,-2.0000000000000000e+00,-1.9974916666666667e+00,1.0000000000000000e+00,9.9937291666666672e-01,-1.7545750000000000e+00,-1.6306092592592596e+00,9.1624999999999998e-02,1.2247592592592593e-01
-2.0000000000000000e+00,-1.7533190909090908e+00,1.0000000000000000e+00,7.5671249999999990e-01,-2.0000000000000000e+00,-1.9975372727272727e+00,1.0000000000000000e+00,9.9938431818181817e-01,-1.7214750000000001e+00,-1.6322613636363641e+00,1.3059999999999999e-01,1.2262363636363638e-01
-2.0000000000000000e+00,-1.7577241071428571e+00,1.0000000000000000e+00,7.6105691964285704e-01,-2.0000000000000000e+00,-1.9975812499999999e+00,1.0000000000000000e+00,9.9939531250000002e-01,-1.7228999999999999e+00,-1.6338799107142861e+00,1.4668750000000000e-01,1.2305334821428572e-01
-1.9977000000000000e+00,-1.7619342105263156e+00,9.9942500000000001e-01,7.6523881578947361e-01,-1.9977000000000000e+00,-1.9975833333333330e+00,9.9942500000000001e-01,9.9939583333333337e-01,-1.7403750000000000e+00,-1.6357482456140353e+00,1.5918749999999998e-01,1.2368728070175439e-01
-1.9800000000000000e+00,-1.7656939655172412e+00,9.9500000000000000e-01,7.6920021551724127e-01,-1.9800000000000000e+00,-1.9972801724137930e+00,9.9500000000000000e-01,9.9932004310344835e-01,-1.7129750000000001e+00,-1.6370797413793106e+00,1.5528749999999999e-01,1.2423211206896552e-01
-1.9838999999999998e+00,-1.7693923728813559e+00,9.9597499999999994e-01,7.7304385593220337e-01,-1.9838999999999998e+00,-1.9970533898305085e+00,9.9597499999999994e-01,9.9926334745762713e-01,-1.7083250000000001e+00,-1.6382872881355934e+00,1.5220000000000000e-01,1.2470614406779661e-01
-2.0000000000000000e+00,-1.7732358333333333e+00,1.0000000000000000e+00,7.7682645833333330e-01,-2.0000000000000000e+00,-1.9971025000000000e+00,1.0000000000000000e+00,9.9927562500000000e-01,-1.7349749999999999e+00,-1.6398987500000004e+00,1.4858750000000001e-01,1.2510416666666666e-01
-2.0000000000000000e+00,-1.7769532786885245e+00,1.0000000000000000e+00,7.8048504098360649e-01,-2.0000000000000000e+00,-1.9971500000000000e+00,1.0000000000000000e+00,9.9928750000000011e-01,-1.7438250000000000e+00,-1.6416024590163938e+00,1.2468750000000001e-01,1.2509733606557377e-01
-2.0000000000000000e+00,-1.7805508064516129e+00,1.0000000000000000e+00,7.8402560483870964e-01,-2.0000000000000000e+00,-1.9971959677419355e+00,1.0000000000000000e+00,9.9929899193548388e-01,-1.7388500000000000e+00,-1.6431709677419359e+00,1.0720000000000000e-01,1.2480866935483871e-01
-1.9875000000000000e+00,-1.7838357142857142e+00,9.9687499999999996e-01,7.8740416666666668e-01,-1.9875000000000000e+00,-1.9970420634920634e+00,9.9687499999999996e-01,9.9926051587301601e-01,-1.7458000000000000e+00,-1.6448000000000005e+00,1.0037499999999999e-01,1.2442083333333333e-01
-1.9800000000000000e+00,-1.7869007812500000e+00,9.9500000000000000e-01,7.9064785156249995e-01,-1.9800000000000000e+00,-1.9967757812500000e+00,9.9500000000000000e-01,9.9919394531250005e-01,-1.7487999999999999e+00,-1.6464250000000005e+00,1.0708750000000000e-01,1.2414999999999998e-01
-1.9992500000000002e+00,-1.7901676923076923e+00,9.9981249999999999e-01,7.9386576923076912e-01,-1.9992500000000002e+00,-1.9968138461538463e+00,9.9981249999999999e-01,9.9920346153846162e-01,-1.7587250000000001e+00,-1.6481526923076928e+00,1.1232499999999999e-01,1.2396807692307690e-01
-2.0000000000000000e+00,-1.7933469696969697e+00,1.0000000000000000e+00,7.9698901515151510e-01,-2.0000000000000000e+00,-1.9968621212121214e+00,1.0000000000000000e+00,9.9921553030303045e-01,-1.7600000000000000e+00,-1.6498473484848490e+00,1.1652500000000000e-01,1.2385530303030301e-01
-2.0000000000000000e+00,-1.7964313432835821e+00,1.0000000000000000e+00,8.0001902985074613e-01,-2.0000000000000000e+00,-1.9969089552238806e+00,1.0000000000000000e+00,9.9922723880597031e-01,-1.7545249999999999e+00,-1.6514097014925377e+00,1.1827500000000001e-01,1.2377201492537312e-01
-2.0000000000000000e+00,-1.7994250000000001e+00,1.0000000000000000e+00,8.0295992647058811e-01,-2.0000000000000000e+00,-1.9969544117647060e+00,1.0000000000000000e+00,9.9923860294117661e-01,-1.7500000000000000e+00,-1.6528595588235300e+00,1.1312500000000000e-01,1.2361544117647058e-01
-2.0000000000000000e+00,-1.8023318840579710e+00,1.0000000000000000e+00,8.0581557971014484e-01,-2.0000000000000000e+00,-1.9969985507246377e+00,1.0000000000000000e+00,9.9924963768115949e-01,-1.7552500000000000e+00,-1.6543434782608701e+00,1.1141250000000000e-01,1.2343858695652173e-01
-2.0000000000000000e+00,-1.8051557142857142e+00,1.0000000000000000e+00,8.0858964285714274e-01,-2.0000000000000000e+00,-1.9970414285714286e+00,1.0000000000000000e+00,9.9926035714285721e-01,-1.7592250000000000e+00,-1.6558417857142862e+00,1.1213749999999999e-01,1.2327714285714284e-01
-2.0000000000000000e+00,-1.8078999999999998e+00,1.0000000000000000e+00,8.1128556338028157e-01,-2.0000000000000000e+00,-1.9970830985915493e+00,1.0000000000000000e+00,9.9927077464788738e-01,-1.7600000000000000e+00,-1.6573088028169021e+00,1.1973750000000001e-01,1.2322728873239434e-01
-2.0000000000000000e+00,-1.8105680555555554e+00,1.0000000000000000e+00,8.1390659722222214e-01,-2.0000000000000000e+00,-1.9971236111111113e+00,1.0000000000000000e+00,9.9928090277777792e-01,-1.7572500000000000e+00,-1.6586968750000006e+00,1.3226250000000001e-01,1.2335277777777774e-01
-2.0000000000000000e+00,-1.8131630136986299e+00,1.0000000000000000e+00,8.1645582191780819e-01,-2.0000000000000000e+00,-1.9971630136986303e+00,1.0000000000000000e+00,9.9929075342465767e-01,-1.7647249999999999e+00,-1.6601493150684936e+00,1.0958750000000000e-01,1.2316421232876709e-01
-2.0000000000000000e+00,-1.8156878378378376e+00,1.0000000000000000e+00,8.1893614864864861e-01,-2.0000000000000000e+00,-1.9972013513513514e+00,1.0000000000000000e+00,9.9930033783783789e-01,-1.7700000000000000e+00,-1.6616337837837840e+00,8.2225000000000006e-02,1.2261097972972969e-01
-1.9930000000000001e+00,-1.8180519999999998e+00,9.9825000000000008e-01,8.2132699999999992e-01,-1.9930000000000001e+00,-1.9971453333333333e+00,9.9825000000000008e-01,9.9928633333333339e-01,-1.7599500000000001e+00,-1.6629446666666670e+00,7.6749999999999999e-02,1.2199949999999997e-01
-1.9762500000000001e+00,-1.8201335526315787e+00,9.9406249999999996e-01,8.2359983552631566e-01,-1.9762500000000001e+00,-1.9968703947368420e+00,9.9406249999999996e-01,9.9921759868421056e-01,-1.7286750000000000e+00,-1.6638095394736845e+00,6.8400000000000002e-02,1.2129424342105261e-01
-1.9907499999999998e+00,-1.8223493506493502e+00,9.9768749999999995e-01,8.2586071428571417e-01,-1.9907499999999998e+00,-1.9967909090909088e+00,9.9768749999999995e-01,9.9919772727272727e-01,-1.7307499999999998e+00,-1.6646788961038963e+00,5.2212500000000002e-02,1.2039707792207789e-01
-2.0000000000000000e+00,-1.8246269230769225e+00,1.0000000000000000e+00,8.2809326923076920e-01,-2.0000000000000000e+00,-1.9968320512820510e+00,1.0000000000000000e+00,9.9920801282051286e-01,-1.7480750000000000e+00,-1.6657480769230772e+00,3.9024999999999997e-02,1.1935384615384613e-01
-2.0000000000000000e+00,-1.8268468354430376e+00,1.0000000000000000e+00,8.3026930379746833e-01,-2.0000000000000000e+00,-1.9968721518987340e+00,1.0000000000000000e+00,9.9921803797468356e-01,-1.7380750000000000e+00,-1.6666636075949370e+00,3.4874999999999996e-02,1.1828449367088605e-01
-2.0000000000000000e+00,-1.8290112499999995e+00,1.0000000000000000e+00,8.3239093749999993e-01,-2.0000000000000000e+00,-1.9969112499999997e+00,1.0000000000000000e+00,9.9922781250000003e-01,-1.7472999999999999e+00,-1.6676715625000003e+00,5.2187499999999998e-02,1.1745828124999998e-01
-2.0000000000000000e+00,-1.8311222222222219e+00,1.0000000000000000e+00,8.3446018518518517e-01,-2.0000000000000000e+00,-1.9969493827160492e+00,1.0000000000000000e+00,9.9923734567901235e-01,-1.7483250000000001e+00,-1.6686672839506176e+00,2.2174999999999997e-02,1.1628194444444442e-01
-2.0000000000000000e+00,-1.8331817073170729e+00,1.0000000000000000e+00,8.3647896341463412e-01,-2.0000000000000000e+00,-1.9969865853658535e+00,1.0000000000000000e+00,9.9924664634146343e-01,-1.7375749999999999e+00,-1.6695076219512197e+00,3.3575000000000001e-02,1.1527332317073170e-01
-2.0000000000000000e+00,-1.8351915662650597e+00,1.0000000000000000e+00,8.3844909638554210e-01,-2.0000000000000000e+00,-1.9970228915662649e+00,1.0000000000000000e+00,9.9925572289156628e-01,-1.7376750000000001e+00,-1.6703289156626506e+00,3.7487500000000000e-02,1.1433614457831323e-01
-2.0000000000000000e+00,-1.8371535714285709e+00,1.0000000000000000e+00,8.4037232142857143e-01,-2.0000000000000000e+00,-1.9970583333333332e+00,1.0000000000000000e+00,9.9926458333333334e-01,-1.7473750000000001e+00,-1.6712461309523812e+00,1.9262500000000002e-02,1.1320431547619046e-01
-2.0000000000000000e+00,-1.8390694117647055e+00,1.0000000000000000e+00,8.4225029411764696e-01,-2.0000000000000000e+00,-1.9970929411764704e+00,1.0000000000000000e+00,9.9927323529411771e-01,-1.7428500000000000e+00,-1.6720885294117649e+00,1.8925000000000001e-02,1.1209514705882351e-01
